gemeente,totaal_inwoners,totaal_mannen,totaal_vrouwen,totaal_0_15,totaal_15_25,totaal_25_45,totaal_45_65,totaal_65_plus,gemiddelde_woz,pct_eengezinswoning,totaal_koopwoningen,totaal_huurwoningen,gemiddeld_inkomen,totaal_laag_inkomen,totaal_bedrijfsvestigingen,gemiddelde_stedelijkheid
Goes                                    ,111734.0,54759.0,56925.0,16402.0,12246.0,25067.0,32695.0,25454.0,237.48387096774192,88.73684210526316,2791.0,959.0,27.44242424242424,125.80000000000001,10070.0,4.230769230769231
Goirle                                  ,69847.0,34538.0,35214.0,11793.0,7051.0,15069.0,20808.0,14981.0,290.57142857142856,86.47826086956522,3438.0,1115.0,28.393181818181816,153.99999999999997,5715.0,3.6
Gooise Meren                            ,170925.0,82328.0,88732.0,32871.0,17306.0,35186.0,49979.0,36048.0,419.32142857142856,73.87931034482759,3893.0,1805.0,39.659649122807,291.1,22655.0,2.619047619047619
Gorinchem                               ,107160.0,52832.0,54223.0,17826.0,12688.0,27313.0,30334.0,19114.0,216.65384615384616,71.125,1900.0,1287.0,26.265384615384622,146.90000000000003,9190.0,3.3
Gouda                                   ,215122.0,105494.0,109533.0,37130.0,25986.0,52664.0,60443.0,39059.0,198.71153846153845,63.5,3028.0,2317.0,26.938461538461542,400.99999999999994,15950.0,2.0350877192982457
Grave                                   ,37070.0,18921.0,18109.0,5696.0,4293.0,7942.0,11425.0,7644.0,257.85714285714283,83.04761904761905,1539.0,531.0,25.666666666666668,60.00000000000001,2710.0,4.545454545454546
Groningen                               ,607771.0,303815.0,303856.0,73674.0,144086.0,184644.0,129919.0,75023.0,186.16470588235293,52.84375,5057.0,4410.0,24.78369565217392,1079.2999999999997,47055.0,2.5806451612903225
Grootegast                              ,36476.0,18558.0,17898.0,6687.0,4537.0,7984.0,10839.0,6354.0,211.8095238095238,95.9047619047619,1647.0,425.0,21.43809523809524,80.0,3145.0,5.0
Gulpen-Wittem                           ,43062.0,21786.0,21391.0,4928.0,4261.0,8075.0,14717.0,11406.0,231.60714285714286,86.48571428571428,2569.0,855.0,27.006666666666668,108.79999999999998,3845.0,4.972972972972973
Haaksbergen                             ,72732.0,36486.0,36191.0,11486.0,8059.0,14393.0,22206.0,16268.0,239.0,88.8108108108108,2646.0,950.0,24.58611111111111,137.3,6170.0,4.052631578947368
Haaren                                  ,41707.0,21260.0,20422.0,5932.0,5084.0,7812.0,13593.0,9236.0,363.52941176470586,85.3157894736842,1432.0,325.0,30.842105263157894,60.3,4480.0,4.95
